rank,portal,origin_country,current_owner,owner_country,ownership_status,deal_year,deal_status,source_url,source_publisher,notes
1,Aegean Airlines,Greece,Public shareholders,Greece,public_european,,not_known_acquired,https://en.about.aegeanair.com/investor-relations/,Aegean Airlines,Greek listed airline direct booking channel
2,Air Europa,Spain,Globalia and IAG minority,Spain / United Kingdom,private_european,,not_known_acquired,https://ec.europa.eu/commission/presscorner/detail/cs/ip_24_2306,European Commission,Spanish airline still controlled by Globalia after IAG abandoned full takeover plan
3,Air France,France,Air France-KLM,France / Netherlands,public_european,,not_known_acquired,https://www.airfranceklm.com/en/finance/air-france-klm-capital/shareholding-structure,Air France-KLM,French airline brand in listed Air France-KLM group
4,Austrian Airlines,Austria,Lufthansa Group,Germany,acquired_european,2009,completed,https://ec.europa.eu/competition/mergers/cases/decisions/m5440_20090828_20600_en.pdf,European Commission,Austrian airline acquired by Lufthansa Group
5,Billigflug,Germany,TC Flights Germany GmbH,Germany,private_european,,not_known_acquired,https://www.billigflug.de/service/imprint/,Billigflug,Already captured from first flight portal filter
6,Booking.com,Netherlands,Booking Holdings,USA,acquired_non_european,2005,completed,https://www.sec.gov/Archives/edgar/data/1075531/000110465905033189/a05-12314_1ex99d1.htm,SEC,Dutch travel booking brand acquired by Priceline
7,British Airways,United Kingdom,IAG,United Kingdom / Spain,acquired_european,2011,completed,https://careers.ba.com/our-brands,British Airways,UK airline brand under IAG
8,Brussels Airlines,Belgium,Lufthansa Group,Germany,acquired_european,2017,completed,https://press.brusselsairlines.com/lufthansa-and-brussels-airlines-shaping-the-future-together,Brussels Airlines,Belgian airline fully integrated into Lufthansa Group from 2018
9,Condor,Germany,Attestor,United Kingdom,acquired_european,2021,completed,https://condor-newsroom.condor.com/en/de/about-us/history/,Condor,Already captured from first flight portal filter
10,Connections by easyJet,United Kingdom,easyJet and Dohop,United Kingdom / Iceland,private_european,,not_known_acquired,https://www.easyjet.com/en/help/extra-services/connections-by-easyjet,easyJet,easyJet self-connection booking service powered by Dohop
11,eDreams,Spain,eDreams ODIGEO,Spain,public_european,2014,not_known_acquired,https://www.edreamsodigeo.com/about-us/history/,eDreams ODIGEO,Already captured as eDreams ODIGEO brand
12,Eurowings,Germany,Lufthansa Group,Germany,public_european,,not_known_acquired,https://www.lufthansagroup.com/en/company.html,Lufthansa Group,German airline brand in Lufthansa Group
13,Expedia,USA,Expedia Group,USA,public_non_european,,not_known_acquired,https://www.expediagroup.com/en-us,Expedia Group,US travel booking brand
14,Flightnetwork,Canada,Etraveli Group,Sweden,acquired_european,2019,completed,https://www.etraveligroup.com/etraveli-group-acquires-tripstack-and-flight-network-adding-tech-capabilities-and-further-strengthening-its-global-position/,Etraveli Group,Already captured from first flight portal filter
15,Flighttix,Netherlands,Tix B.V.,Netherlands,private_european,,not_known_acquired,https://media.tix.fr/Privacy2019.pdf,Tix B.V.,Already captured from first flight portal filter
16,flugladen.de,Germany,Trip.com Group,China,acquired_non_european,2020,completed,https://www.travix.com/,Travix,German Travix flight brand now under Trip.com Group
17,Flysmarter,Sweden,FlySmarter,Sweden,private_european,,not_known_acquired,https://www.trustpilot.com/review/flysmarter.at,Trustpilot,Flight OTA with Sweden contact footprint and limited public ownership data
18,Gotogate,Sweden,Etraveli Group,Sweden,acquired_european,2017,completed,https://www.prosiebensat1.com/en/newsroom/prosiebensat1-sells-etraveli-to-cvc-capital-partners-en-337797,ProSiebenSat.1,Already captured Etraveli brand
19,Iberia,Spain,IAG,United Kingdom / Spain,acquired_european,2011,completed,https://centreforaviation.com/data/profiles/airline-groups/international-airlines-group-iag,CAPA,Spanish airline brand under IAG
20,ITA Airways,Italy,Lufthansa Group,Germany,acquired_european,2025,completed,https://newsroom.lufthansagroup.com/en/lufthansa-group-finalizes-41-percent-stake-in-ita-airways/,Lufthansa Group,Italian airline became part of Lufthansa Group
21,Kissandfly.de,Unknown,TTN,Unknown,unknown,,not_known_acquired,https://avia.kissandfly.com/content/about.html,Kissandfly,Owner country needs registry follow-up
22,Kiwi.com,Czech Republic,General Atlantic,USA,acquired_non_european,2019,completed,https://www.generalatlantic.com/media-article/general-atlantic-announces-strategic-partnership-with-travel-platform-kiwi-com/,General Atlantic,Already captured from first flight portal filter
23,KLM,Netherlands,Air France-KLM,France / Netherlands,acquired_european,2004,completed,https://www.airfranceklm.com/en/finance/air-france-klm-capital/shareholding-structure,Air France-KLM,Dutch airline brand in Air France-KLM group
24,lastminute.com,United Kingdom,lastminute.com Group,Switzerland,acquired_european,2015,completed,https://investors.sabre.com/news-releases/news-release-details/bravofly-rumbo-group-closes-acquisition-lastminutecom-sabre,Sabre,UK-origin travel brand acquired by Bravofly Rumbo Group
25,Lufthansa,Germany,Public shareholders,Germany,public_european,,not_known_acquired,https://www.lufthansagroup.com/en/company.html,Lufthansa Group,German listed airline group
26,Mytrip,Sweden,Etraveli Group,Sweden,acquired_european,2017,completed,https://www.etraveligroup.com/cvc-capital-partners-buys-etraveli-for-508-million-euro/,Etraveli Group,Already captured Etraveli brand
27,Omio,Germany,Private shareholders,Germany,private_european,,not_known_acquired,https://www.omio.com/,Omio,Already captured multimodal booking app
28,oojo,Netherlands,Trevolution Group,Netherlands / USA,private_european,,not_known_acquired,https://trevolution.group/en/press/oojo-reaches-new-horizons-with-its-german-market-launch/,Trevolution Group,Flight OTA of Trevolution Group with Amsterdam operating footprint
29,Opodo,United Kingdom,eDreams ODIGEO,Spain,public_european,2011,completed,https://www.edreamsodigeo.com/our-brands/,eDreams ODIGEO,Already captured eDreams ODIGEO brand
30,Pegasus Airlines,Turkey,Esas Holding,Turkey,public_european,,not_known_acquired,https://www.pegasusinvestorrelations.com/en/corporate-governance/group-companies,Pegasus Airlines,Turkish listed low-cost airline controlled by Esas Holding
31,SAUDIA,Saudi Arabia,Government of Saudi Arabia,Saudi Arabia,state_owned,,not_known_acquired,https://www.saudia.com/,SAUDIA,Saudi national airline treated as state-owned
32,Sembo,Sweden,Stena Line Travel Group,Sweden,private_european,,not_known_acquired,https://www.sembo.com/,Sembo,Already captured from first flight portal filter
33,SWISS,Switzerland,Lufthansa Group,Germany,acquired_european,2005,completed,https://ec.europa.eu/competition/mergers/cases/decisions/m3770_20050704_20212_en.pdf,European Commission,Swiss airline acquired by Lufthansa Group
34,TAP Air Portugal,Portugal,Portuguese state,Portugal,state_owned,,not_known_acquired,https://newsroom.lufthansagroup.com/en/lufthansa-group-intends-to-play-an-active-role-in-the-privatization-of-tap-air-portugal/,Lufthansa Group,Portuguese state-owned airline undergoing privatization process
35,Travellink.de,Sweden,eDreams ODIGEO,Spain,public_european,2011,completed,https://www.edreamsodigeo.com/our-brands/,eDreams ODIGEO,Nordic OTA brand of eDreams ODIGEO
36,Trip.com,China,Trip.com Group,China,public_non_european,,not_known_acquired,https://www.trip.com/,Trip.com,Already captured Chinese travel booking platform
37,United Airlines,USA,Public shareholders,USA,public_non_european,,not_known_acquired,https://ir.united.com/,United Airlines,US listed airline direct booking channel
38,Vueling,Spain,IAG,United Kingdom / Spain,acquired_european,2013,completed,https://centreforaviation.com/data/profiles/airline-groups/international-airlines-group-iag,CAPA,Spanish low-cost airline brand under IAG
39,WAYA,Iceland,Dohop,Iceland,private_european,,not_known_acquired,https://www.waya.travel/content/about-us,WAYA,Already captured flight connection booking site powered by Dohop
