company,origin_country,category,current_owner,owner_country,ownership_status,deal_year,deal_status,notes,source_url,source_publisher,accessed_date
Skyscanner,United Kingdom,flight metasearch,Trip.com Group,China,acquired_non_european,2016,completed,Scottish flight metasearch platform acquired by Ctrip now Trip.com Group,https://www.trip.com/newsroom/trip-com-group-completes-skyscanner-review/,Trip.com Group,2026-07-02
Momondo,Denmark,flight metasearch,Booking Holdings,USA,acquired_non_european,2017,completed,Danish flight metasearch brand acquired via Momondo Group,https://ir.bookingholdings.com/news/news-details/2017/The-Priceline-Group-Completes-the-Acquisition-of-Momondo-Group-07-24-2017/default.aspx,Booking Holdings,2026-07-02
Cheapflights,United Kingdom,flight comparison,Booking Holdings,USA,acquired_non_european,2017,completed,UK flight comparison brand acquired via Momondo Group,https://ir.bookingholdings.com/news/news-details/2017/The-Priceline-Group-Completes-the-Acquisition-of-Momondo-Group-07-24-2017/default.aspx,Booking Holdings,2026-07-02
KAYAK,USA,flight metasearch,Booking Holdings,USA,acquired_non_european,2013,completed,US travel metasearch platform owned by Booking Holdings,https://www.sec.gov/Archives/edgar/data/1075531/000107553113000030/kayakclosing8-k.htm,SEC,2026-07-02
Kiwi.com,Czech Republic,flight booking,General Atlantic,USA,acquired_non_european,2019,completed,Czech virtual interlining flight booking platform with General Atlantic majority ownership reported,https://www.phocuswire.com/kiwi-com-sells-to-General-Atlantic,PhocusWire,2026-07-02
Travelfusion,United Kingdom,flight aggregation,Trip.com Group,China,acquired_non_european,2015,completed,UK low-cost-carrier content aggregator controlled by Ctrip Trip.com Group,https://www.prnewswire.com/news-releases/ctrip-announces-investment-in-travelfusion-300015904.html,PR Newswire,2026-07-02
Etraveli Group,Sweden,flight OTA,CVC Capital Partners and KKR,United Kingdom / USA,acquired_european,2017,completed,Flight-centric OTA owner of brands such as Gotogate Supersaver Seat24 and Mytrip with KKR minority investment in 2025,https://www.etraveligroup.com/cvc-capital-partners-buys-etraveli-for-508-million-euro/,Etraveli Group,2026-07-02
Gotogate,Sweden,flight OTA,Etraveli Group,United Kingdom / USA,acquired_european,2017,completed,Etraveli flight booking brand listed in ProSiebenSat.1 sale announcement,https://www.prosiebensat1.com/en/newsroom/prosiebensat1-sells-etraveli-to-cvc-capital-partners-en-337797,ProSiebenSat.1,2026-07-02
Mytrip,Sweden,flight OTA,Etraveli Group,United Kingdom / USA,acquired_european,2017,completed,Etraveli flight booking brand requiring follow-up for exact trademark owner,https://www.etraveligroup.com/cvc-capital-partners-buys-etraveli-for-508-million-euro/,Etraveli Group,2026-07-02
Supersaver,Sweden,flight OTA,Etraveli Group,United Kingdom / USA,acquired_european,2017,completed,Etraveli flight booking brand listed in ProSiebenSat.1 sale announcement,https://www.prosiebensat1.com/en/newsroom/prosiebensat1-sells-etraveli-to-cvc-capital-partners-en-337797,ProSiebenSat.1,2026-07-02
