source_id,brand,sector,origin_country,brand_type,research_priority,consumer_score,notes,source_url,source_publisher,accessed_date
EU_STARTUPS_TRAVEL_2025,Arbio,travel,Germany,platform,high,8,Travel tech startup from EU-Startups 2025 seed list,https://www.eu-startups.com/2025/07/everyone-on-board-10-promising-european-startups-navigating-the-future-of-travel/,EU-Startups,2026-07-02
EU_STARTUPS_TRAVEL_2025,Arcube,travel,United Kingdom,software,medium,6,Travel tech startup from EU-Startups 2025 seed list,https://www.eu-startups.com/2025/07/everyone-on-board-10-promising-european-startups-navigating-the-future-of-travel/,EU-Startups,2026-07-02
EU_STARTUPS_TRAVEL_2025,Drimer,travel,Spain,platform,high,8,Travel tech startup from EU-Startups 2025 seed list,https://www.eu-startups.com/2025/07/everyone-on-board-10-promising-european-startups-navigating-the-future-of-travel/,EU-Startups,2026-07-02
EU_STARTUPS_TRAVEL_2025,HolaCamp,travel,Spain,service,high,8,Travel tech startup from EU-Startups 2025 seed list,https://www.eu-startups.com/2025/07/everyone-on-board-10-promising-european-startups-navigating-the-future-of-travel/,EU-Startups,2026-07-02
EU_STARTUPS_TRAVEL_2025,Kolet,travel,France,app,high,8,Travel tech startup from EU-Startups 2025 seed list,https://www.eu-startups.com/2025/07/everyone-on-board-10-promising-european-startups-navigating-the-future-of-travel/,EU-Startups,2026-07-02
EU_STARTUPS_TRAVEL_2025,Layla AI,travel,Germany,app,high,9,Travel tech startup from EU-Startups 2025 seed list,https://www.eu-startups.com/2025/07/everyone-on-board-10-promising-european-startups-navigating-the-future-of-travel/,EU-Startups,2026-07-02
EU_STARTUPS_TRAVEL_2025,Nomade Nation,travel,Spain,brand,medium,7,Travel tech startup from EU-Startups 2025 seed list,https://www.eu-startups.com/2025/07/everyone-on-board-10-promising-european-startups-navigating-the-future-of-travel/,EU-Startups,2026-07-02
EU_STARTUPS_TRAVEL_2025,Understory,travel,Denmark,software,medium,6,Travel tech startup from EU-Startups 2025 seed list,https://www.eu-startups.com/2025/07/everyone-on-board-10-promising-european-startups-navigating-the-future-of-travel/,EU-Startups,2026-07-02
EU_STARTUPS_TRAVEL_2025,Weebora,travel,Italy,platform,medium,7,Travel tech startup from EU-Startups 2025 seed list,https://www.eu-startups.com/2025/07/everyone-on-board-10-promising-european-startups-navigating-the-future-of-travel/,EU-Startups,2026-07-02
EU_STARTUPS_TRAVEL_2025,Wingbits,travel,Sweden,platform,medium,6,Travel tech startup from EU-Startups 2025 seed list,https://www.eu-startups.com/2025/07/everyone-on-board-10-promising-european-startups-navigating-the-future-of-travel/,EU-Startups,2026-07-02
